"ActivityLabel" "Subject" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
"SITTING" 1 0.2612 -0.0013 -0.1045 -0.9772 -0.9226 -0.9396 0.8315 0.2044 0.332 -0.9685 -0.9355 -0.949 0.0775 -6e-04 -0.0034 -0.9864 -0.9814 -0.9879 -0.0454 -0.0919 0.0629 -0.9772 -0.9665 -0.9414 -0.0937 -0.0402 -0.0467 -0.9917 -0.9895 -0.9879 -0.9485 -0.9271 -0.9485 -0.9271 -0.9874 -0.9841 -0.9309 -0.9345 -0.992 -0.9883 -0.9796 -0.9441 -0.9592 -0.9764 -0.9173 -0.9345 -0.9866 -0.9816 -0.9861 -0.9875 -0.9825 -0.9883 -0.9762 -0.9758 -0.9513 -0.9779 -0.9623 -0.9439 -0.9478 -0.9284 -0.9853 -0.9816 -0.9584 -0.9322 -0.9898 -0.987
"SITTING" 2 0.2771 -0.0157 -0.1092 -0.9868 -0.9507 -0.9598 0.9405 -0.1056 0.1987 -0.98 -0.9568 -0.9544 0.0723 0.0117 0.0076 -0.9881 -0.978 -0.9875 -0.0455 -0.0599 0.0412 -0.9857 -0.9789 -0.9598 -0.0936 -0.0416 -0.0436 -0.9897 -0.9909 -0.9855 -0.9679 -0.9531 -0.9679 -0.9531 -0.9868 -0.9845 -0.946 -0.9613 -0.9911 -0.9896 -0.9858 -0.9573 -0.9702 -0.9874 -0.9501 -0.9569 -0.9878 -0.9771 -0.9851 -0.9895 -0.9808 -0.9886 -0.9826 -0.9821 -0.9598 -0.9868 -0.9774 -0.9635 -0.9613 -0.9556 -0.9839 -0.9841 -0.9718 -0.9614 -0.9899 -0.9896
"SITTING" 3 0.2572 -0.0035 -0.0984 -0.971 -0.8566 -0.8751 0.9011 0.1273 0.139 -0.9573 -0.9039 -0.8977 0.0726 0.0027 -0.0042 -0.9745 -0.9536 -0.9747 -0.0385 -0.0752 0.094 -0.9654 -0.9449 -0.9264 -0.1036 -0.0361 -0.059 -0.9725 -0.9786 -0.9738 -0.8954 -0.8703 -0.8954 -0.8703 -0.9691 -0.9666 -0.9194 -0.9255 -0.978 -0.9768 -0.9702 -0.8919 -0.918 -0.9716 -0.8497 -0.8643 -0.975 -0.9542 -0.9708 -0.9763 -0.9565 -0.9772 -0.9576 -0.9562 -0.935 -0.968 -0.9396 -0.9306 -0.9042 -0.8746 -0.9659 -0.9666 -0.9467 -0.9254 -0.9779 -0.9767
"SITTING" 4 0.2715 -0.0072 -0.1059 -0.9803 -0.8902 -0.9322 0.8693 0.2116 0.1101 -0.9814 -0.9327 -0.9509 0.0785 -0.0109 -0.0121 -0.9767 -0.9446 -0.979 -0.0494 -0.0894 0.1012 -0.9701 -0.9585 -0.928 -0.0969 -0.0418 -0.049 -0.9699 -0.9844 -0.9688 -0.9357 -0.9144 -0.9357 -0.9144 -0.9701 -0.9625 -0.9261 -0.9289 -0.9805 -0.9758 -0.9775 -0.9058 -0.9518 -0.9819 -0.8895 -0.927 -0.9768 -0.9443 -0.9752 -0.9788 -0.9493 -0.9817 -0.9606 -0.9676 -0.9338 -0.9733 -0.9541 -0.9329 -0.929 -0.9198 -0.9625 -0.9616 -0.9488 -0.9289 -0.9765 -0.9763
"SITTING" 5 0.2737 -0.0099 -0.1085 -0.9809 -0.9043 -0.9261 0.8807 0.1684 0.143 -0.9831 -0.9399 -0.945 0.075 -0.0028 0.0034 -0.9752 -0.9528 -0.9734 -0.0422 -0.0835 0.0824 -0.9662 -0.9501 -0.9406 -0.089 -0.0455 -0.0488 -0.966 -0.9754 -0.9649 -0.938 -0.9209 -0.938 -0.9209 -0.9693 -0.9658 -0.9343 -0.9314 -0.9738 -0.9704 -0.9775 -0.9214 -0.9461 -0.9826 -0.9023 -0.9218 -0.976 -0.9542 -0.9695 -0.9765 -0.9545 -0.976 -0.9571 -0.9555 -0.938 -0.9694 -0.9476 -0.9473 -0.9363 -0.9257 -0.9644 -0.9665 -0.9448 -0.9347 -0.9716 -0.9707
"SITTING" 6 0.2768 -0.0146 -0.1101 -0.9802 -0.9237 -0.9258 0.9337 0.0683 0.0695 -0.9889 -0.9609 -0.9555 0.0755 0 0.0062 -0.9699 -0.9451 -0.9586 -0.0372 -0.0899 0.0854 -0.9574 -0.9441 -0.9397 -0.0937 -0.0334 -0.0466 -0.9437 -0.9618 -0.9588 -0.9495 -0.9316 -0.9495 -0.9316 -0.9627 -0.9482 -0.9327 -0.9213 -0.9629 -0.9502 -0.9754 -0.9283 -0.9358 -0.9825 -0.9257 -0.9258 -0.971 -0.9471 -0.9542 -0.9715 -0.9469 -0.9616 -0.9397 -0.9439 -0.9348 -0.9634 -0.9449 -0.9473 -0.9358 -0.9395 -0.9483 -0.9473 -0.9297 -0.9295 -0.952 -0.9512
"SITTING" 7 0.2847 -0.0146 -0.1225 -0.9727 -0.9095 -0.8565 0.9691 0.0061 0.065 -0.9571 -0.9454 -0.8686 0.0669 0.0117 0.0162 -0.9822 -0.9695 -0.9723 -0.0496 -0.0336 0.0259 -0.9419 -0.9441 -0.937 -0.0938 -0.0396 -0.0455 -0.9744 -0.981 -0.981 -0.9184 -0.882 -0.9184 -0.882 -0.9766 -0.9702 -0.8979 -0.8981 -0.9817 -0.9762 -0.9727 -0.9315 -0.9047 -0.9729 -0.9046 -0.8441 -0.982 -0.9694 -0.9685 -0.984 -0.9718 -0.9747 -0.9436 -0.9567 -0.9474 -0.9427 -0.9382 -0.9398 -0.909 -0.8869 -0.971 -0.9685 -0.9331 -0.8958 -0.9786 -0.975
"SITTING" 8 0.2675 -0.0067 -0.1045 -0.979 -0.9273 -0.9396 0.8325 0.2401 0.2639 -0.9668 -0.9375 -0.9355 0.0787 -0.0066 -0.0107 -0.9852 -0.9808 -0.9853 -0.0547 -0.0955 0.0716 -0.9845 -0.9715 -0.9596 -0.0923 -0.0403 -0.0446 -0.9933 -0.9889 -0.9852 -0.9521 -0.9299 -0.9521 -0.9299 -0.9861 -0.9807 -0.9327 -0.953 -0.9918 -0.9868 -0.9811 -0.9442 -0.9594 -0.9783 -0.9238 -0.9339 -0.985 -0.9802 -0.983 -0.9869 -0.983 -0.9862 -0.9822 -0.9766 -0.9618 -0.9853 -0.9689 -0.9626 -0.948 -0.9317 -0.9809 -0.9793 -0.9658 -0.9533 -0.9877 -0.9861
"SITTING" 9 0.2483 -0.027 -0.0754 -0.9572 -0.8751 -0.832 0.9163 -0.0414 0.0853 -0.9553 -0.9465 -0.8859 0.077 0.0098 -0.0087 -0.9645 -0.9568 -0.9619 -0.0423 -0.0414 0.0808 -0.959 -0.9192 -0.9302 -0.0931 -0.0467 -0.0528 -0.9645 -0.9719 -0.9687 -0.8934 -0.8638 -0.8934 -0.8638 -0.9644 -0.9518 -0.9032 -0.9066 -0.9734 -0.9664 -0.9594 -0.9117 -0.8922 -0.9569 -0.8676 -0.818 -0.9656 -0.958 -0.9575 -0.9667 -0.9585 -0.9649 -0.9503 -0.9397 -0.9403 -0.9618 -0.9106 -0.9342 -0.8977 -0.8692 -0.9531 -0.9494 -0.9344 -0.9065 -0.9683 -0.966
"SITTING" 10 0.2706 -0.015 -0.1043 -0.9829 -0.918 -0.9678 0.7919 -0.0413 0.2025 -0.9731 -0.9357 -0.9669 0.0775 0.009 -0.005 -0.9889 -0.9808 -0.9883 -0.0432 -0.068 0.0746 -0.9889 -0.9844 -0.9604 -0.0932 -0.0411 -0.0489 -0.9923 -0.9926 -0.9903 -0.9608 -0.9397 -0.9608 -0.9397 -0.9881 -0.9852 -0.9442 -0.9631 -0.9937 -0.9917 -0.9849 -0.9405 -0.9746 -0.9822 -0.9128 -0.9661 -0.9894 -0.981 -0.9861 -0.9896 -0.982 -0.9891 -0.9865 -0.9862 -0.9654 -0.9897 -0.9836 -0.9624 -0.9553 -0.9415 -0.9859 -0.9833 -0.9745 -0.9625 -0.9922 -0.9914
"SITTING" 11 0.2766 -0.0149 -0.1128 -0.9828 -0.9214 -0.9684 0.872 0.2137 0.1885 -0.9881 -0.9498 -0.9717 0.0762 -2e-04 0.0083 -0.9803 -0.9668 -0.9834 -0.04 -0.0755 0.0762 -0.9882 -0.9822 -0.9528 -0.0948 -0.0393 -0.0505 -0.9905 -0.9886 -0.981 -0.962 -0.9446 -0.962 -0.9446 -0.9794 -0.9745 -0.9519 -0.96 -0.9895 -0.9863 -0.9815 -0.9345 -0.9729 -0.9834 -0.92 -0.9679 -0.9808 -0.9675 -0.9811 -0.9816 -0.9684 -0.9843 -0.9851 -0.9826 -0.9545 -0.9892 -0.9821 -0.9568 -0.9531 -0.9485 -0.9753 -0.9723 -0.9698 -0.9607 -0.9873 -0.9856
"SITTING" 12 0.275 -0.0158 -0.1063 -0.9826 -0.9286 -0.9397 0.9262 0.0831 0.0886 -0.9852 -0.9636 -0.9562 0.0771 0.0106 -0.002 -0.9765 -0.964 -0.9791 -0.0424 -0.0752 0.0728 -0.9744 -0.9605 -0.9516 -0.0941 -0.0387 -0.0516 -0.9773 -0.9793 -0.9771 -0.9522 -0.9475 -0.9522 -0.9475 -0.9747 -0.9727 -0.9419 -0.9468 -0.9804 -0.9783 -0.9797 -0.9428 -0.9546 -0.984 -0.926 -0.9359 -0.9771 -0.9642 -0.9756 -0.978 -0.9665 -0.9814 -0.9685 -0.9637 -0.9557 -0.9763 -0.959 -0.9548 -0.9559 -0.9506 -0.9717 -0.973 -0.9585 -0.9485 -0.9785 -0.9793
"SITTING" 13 0.2743 -0.0059 -0.0972 -0.9895 -0.939 -0.9386 0.9256 0.1018 0.0758 -0.9814 -0.9514 -0.931 0.0753 -0.0011 -0.0232 -0.9928 -0.9843 -0.9876 -0.0355 -0.0903 0.0823 -0.9858 -0.9797 -0.9669 -0.0959 -0.041 -0.0466 -0.9914 -0.9918 -0.9899 -0.9577 -0.9379 -0.9577 -0.9379 -0.9895 -0.9888 -0.9511 -0.9639 -0.9926 -0.9914 -0.9901 -0.9597 -0.9562 -0.9894 -0.9337 -0.9342 -0.9927 -0.9839 -0.9853 -0.9937 -0.9859 -0.9886 -0.9832 -0.9825 -0.9684 -0.9867 -0.9783 -0.9695 -0.9569 -0.9385 -0.9883 -0.9883 -0.9733 -0.9643 -0.9917 -0.9912
"SITTING" 14 0.28 -0.0087 -0.1004 -0.9763 -0.9149 -0.9228 0.939 -0.0365 -0.0946 -0.9763 -0.9503 -0.9384 0.0742 -0.0044 -0.0106 -0.9809 -0.9678 -0.9761 -0.044 -0.0713 0.0929 -0.9808 -0.962 -0.9529 -0.0922 -0.0435 -0.052 -0.9903 -0.9869 -0.9828 -0.9442 -0.9255 -0.9442 -0.9255 -0.9765 -0.9733 -0.9428 -0.9471 -0.9883 -0.987 -0.9765 -0.9326 -0.9441 -0.9763 -0.9116 -0.9177 -0.9816 -0.969 -0.9728 -0.9819 -0.9689 -0.9782 -0.9786 -0.9698 -0.957 -0.9816 -0.9582 -0.956 -0.9406 -0.9292 -0.973 -0.973 -0.9633 -0.9465 -0.9873 -0.9871
"SITTING" 15 0.2729 -0.0117 -0.1137 -0.9871 -0.9224 -0.9493 0.8904 0.2108 0.0028 -0.9826 -0.9436 -0.953 0.0785 -0.009 -0.0024 -0.9882 -0.9781 -0.987 -0.0377 -0.0803 0.0952 -0.9882 -0.9753 -0.9638 -0.0954 -0.0396 -0.0524 -0.9929 -0.9903 -0.9879 -0.9587 -0.938 -0.9587 -0.938 -0.9861 -0.9846 -0.9573 -0.9635 -0.9922 -0.9897 -0.9866 -0.9389 -0.9632 -0.9874 -0.9192 -0.9457 -0.9881 -0.9782 -0.9849 -0.9893 -0.9797 -0.9877 -0.9862 -0.9792 -0.9667 -0.9889 -0.9735 -0.9662 -0.9498 -0.9412 -0.9847 -0.9833 -0.9738 -0.9634 -0.9902 -0.9895
"SITTING" 16 0.2808 -0.0102 -0.0891 -0.9868 -0.9516 -0.9397 0.9425 -0.0866 0.0893 -0.9802 -0.968 -0.9458 0.0734 0.0099 -0.0115 -0.9909 -0.9818 -0.9835 -0.0412 -0.0575 0.0796 -0.981 -0.9583 -0.9603 -0.0957 -0.045 -0.0588 -0.9896 -0.9906 -0.9884 -0.9619 -0.9411 -0.9619 -0.9411 -0.9875 -0.9836 -0.9464 -0.9379 -0.9924 -0.9883 -0.987 -0.9615 -0.9596 -0.9869 -0.9498 -0.9347 -0.991 -0.9818 -0.9812 -0.9916 -0.9832 -0.9844 -0.9786 -0.9668 -0.9601 -0.9821 -0.9543 -0.9643 -0.9583 -0.9426 -0.984 -0.9822 -0.9541 -0.9389 -0.9894 -0.9875
"SITTING" 17 0.2774 -0.0142 -0.1136 -0.9944 -0.9619 -0.9657 0.9449 -0.0028 -0.1358 -0.9902 -0.9667 -0.9566 0.0751 0.0056 -0.0016 -0.9943 -0.9886 -0.9905 -0.0425 -0.0669 0.086 -0.9896 -0.9861 -0.9797 -0.0942 -0.0411 -0.0511 -0.9953 -0.995 -0.9938 -0.9727 -0.9651 -0.9727 -0.9651 -0.9928 -0.9914 -0.9672 -0.9754 -0.9963 -0.9944 -0.994 -0.9699 -0.9748 -0.9947 -0.9598 -0.9629 -0.9945 -0.9883 -0.9888 -0.9946 -0.9899 -0.9908 -0.9884 -0.9888 -0.9816 -0.99 -0.9848 -0.981 -0.9736 -0.9654 -0.9914 -0.9903 -0.9834 -0.9747 -0.9952 -0.9936
"SITTING" 18 0.2773 -0.0129 -0.1119 -0.9943 -0.9749 -0.9776 0.9098 0.1299 0.1619 -0.994 -0.984 -0.9783 0.0766 0.0069 0.0028 -0.9916 -0.984 -0.9902 -0.0333 -0.0686 0.0848 -0.992 -0.9868 -0.9815 -0.0955 -0.0397 -0.0523 -0.9942 -0.9942 -0.9928 -0.9837 -0.9816 -0.9837 -0.9816 -0.9899 -0.9912 -0.9776 -0.9814 -0.9949 -0.9949 -0.9931 -0.9765 -0.983 -0.9949 -0.975 -0.9757 -0.9919 -0.9836 -0.9887 -0.992 -0.9857 -0.9901 -0.99 -0.9887 -0.983 -0.9926 -0.9857 -0.9828 -0.9848 -0.9822 -0.9904 -0.991 -0.9865 -0.9813 -0.9948 -0.995
"SITTING" 19 0.2738 -0.0167 -0.1087 -0.9764 -0.9504 -0.9519 0.5814 0.3603 0.4891 -0.9694 -0.97 -0.9604 0.0754 0.0138 0.0017 -0.987 -0.9793 -0.9867 -0.0214 -0.052 0.0969 -0.9846 -0.9598 -0.9656 -0.101 -0.0425 -0.0591 -0.9885 -0.9875 -0.9853 -0.9621 -0.9518 -0.9621 -0.9518 -0.9864 -0.9842 -0.9422 -0.9505 -0.9895 -0.9858 -0.9792 -0.9608 -0.9663 -0.9752 -0.9481 -0.9475 -0.9868 -0.9791 -0.984 -0.9886 -0.981 -0.9882 -0.9817 -0.9682 -0.9682 -0.9856 -0.9556 -0.9679 -0.9626 -0.9528 -0.9838 -0.9837 -0.9642 -0.9505 -0.9867 -0.9854
"SITTING" 20 0.278 -0.0147 -0.1084 -0.9831 -0.9361 -0.9291 0.9245 0.0733 0.1517 -0.9858 -0.967 -0.9359 0.0747 0.006 0.0016 -0.9821 -0.9709 -0.9765 -0.0364 -0.0651 0.0643 -0.9763 -0.9601 -0.9458 -0.096 -0.0407 -0.0466 -0.9774 -0.9797 -0.9797 -0.9527 -0.9378 -0.9527 -0.9378 -0.9788 -0.9725 -0.9396 -0.9411 -0.983 -0.9751 -0.9812 -0.9452 -0.9476 -0.984 -0.935 -0.9249 -0.9822 -0.9712 -0.9732 -0.9836 -0.9728 -0.9785 -0.9699 -0.9646 -0.951 -0.9784 -0.958 -0.9492 -0.9469 -0.9422 -0.9717 -0.9726 -0.9534 -0.9437 -0.9761 -0.9752
"SITTING" 21 0.2775 -0.0144 -0.1121 -0.9918 -0.9669 -0.9596 0.94 0.0215 -0.0568 -0.9929 -0.9794 -0.9654 0.0757 0.0121 -2e-04 -0.9894 -0.979 -0.9858 -0.0199 -0.0653 0.0831 -0.9884 -0.9764 -0.977 -0.1011 -0.0391 -0.0526 -0.9895 -0.9897 -0.988 -0.9747 -0.972 -0.9747 -0.972 -0.9859 -0.9865 -0.965 -0.9712 -0.9903 -0.9903 -0.9906 -0.9681 -0.9709 -0.9924 -0.9676 -0.9564 -0.9898 -0.9792 -0.9834 -0.99 -0.9803 -0.9868 -0.9849 -0.9798 -0.9768 -0.9896 -0.9747 -0.9791 -0.9748 -0.9744 -0.9853 -0.987 -0.9778 -0.972 -0.99 -0.9911
"SITTING" 22 0.2736 -0.0123 -0.1058 -0.9785 -0.9281 -0.9176 0.8393 0.2086 0.3156 -0.972 -0.9542 -0.928 0.0808 -8e-04 -0.0127 -0.9817 -0.9648 -0.9789 -0.036 -0.0794 0.0804 -0.9811 -0.9502 -0.9465 -0.0986 -0.0423 -0.0517 -0.9857 -0.9803 -0.9795 -0.9422 -0.9243 -0.9422 -0.9243 -0.9793 -0.9686 -0.9421 -0.9333 -0.9855 -0.9765 -0.9785 -0.9395 -0.9466 -0.9786 -0.927 -0.9093 -0.9809 -0.9631 -0.9753 -0.9843 -0.9698 -0.9813 -0.9773 -0.9592 -0.9484 -0.9824 -0.9461 -0.951 -0.9431 -0.9268 -0.9689 -0.967 -0.952 -0.9336 -0.9778 -0.9763
"SITTING" 23 0.2734 -0.0134 -0.1038 -0.9876 -0.9349 -0.9056 0.9365 0.1218 0.063 -0.9845 -0.9609 -0.924 0.077 0.0101 -0.0015 -0.9846 -0.978 -0.976 -0.0473 -0.0684 0.0646 -0.9804 -0.9481 -0.9597 -0.0967 -0.0435 -0.0486 -0.9871 -0.9807 -0.9881 -0.9441 -0.925 -0.9441 -0.925 -0.9824 -0.9737 -0.9366 -0.937 -0.9865 -0.9792 -0.9863 -0.9535 -0.942 -0.9883 -0.9308 -0.8961 -0.9846 -0.9781 -0.9727 -0.986 -0.9796 -0.9779 -0.9771 -0.9579 -0.9654 -0.9815 -0.9437 -0.9619 -0.9458 -0.9271 -0.9741 -0.9721 -0.9523 -0.9387 -0.9807 -0.9785
"SITTING" 24 0.2735 -0.0131 -0.103 -0.9906 -0.9563 -0.9571 0.9196 0.1823 0.1096 -0.9897 -0.9717 -0.9634 0.0763 0.0048 -0.0011 -0.9886 -0.9796 -0.9847 -0.0356 -0.075 0.08 -0.9881 -0.978 -0.9713 -0.0952 -0.0406 -0.0516 -0.9914 -0.9898 -0.9899 -0.969 -0.9638 -0.969 -0.9638 -0.9856 -0.9854 -0.9646 -0.9693 -0.9913 -0.9907 -0.9895 -0.9628 -0.967 -0.9911 -0.955 -0.9544 -0.9889 -0.9792 -0.982 -0.9893 -0.9816 -0.986 -0.9857 -0.9812 -0.9747 -0.9889 -0.9763 -0.9729 -0.9689 -0.9659 -0.9845 -0.9856 -0.978 -0.9691 -0.9909 -0.9909
"SITTING" 25 0.2785 -0.0148 -0.1092 -0.9919 -0.9475 -0.9651 0.8657 0.2083 0.1671 -0.9889 -0.9634 -0.9695 0.0752 0.0049 0.0021 -0.9923 -0.9829 -0.9884 -0.0352 -0.0748 0.0853 -0.9899 -0.9812 -0.9726 -0.0955 -0.0392 -0.0496 -0.9923 -0.9913 -0.9915 -0.9704 -0.96 -0.9704 -0.96 -0.9895 -0.9883 -0.9666 -0.9706 -0.9929 -0.9918 -0.9914 -0.9591 -0.9748 -0.9921 -0.9448 -0.9621 -0.9925 -0.983 -0.9863 -0.9928 -0.9841 -0.9892 -0.988 -0.9838 -0.9758 -0.9906 -0.9798 -0.9742 -0.967 -0.962 -0.9879 -0.9876 -0.9794 -0.9703 -0.9918 -0.992
"SITTING" 26 0.2582 -0.0071 -0.0974 -0.9798 -0.9408 -0.95 0.783 0.2231 0.3144 -0.9651 -0.9493 -0.9446 0.0764 0.0069 -0.0078 -0.9923 -0.9862 -0.99 -0.037 -0.0841 0.0711 -0.991 -0.9734 -0.9664 -0.096 -0.0403 -0.0488 -0.9959 -0.9931 -0.9919 -0.9531 -0.9336 -0.9531 -0.9336 -0.9909 -0.99 -0.9541 -0.9647 -0.9945 -0.994 -0.9826 -0.9543 -0.9675 -0.9788 -0.9378 -0.9448 -0.992 -0.9859 -0.988 -0.9933 -0.9878 -0.9907 -0.9901 -0.9817 -0.9704 -0.9913 -0.9695 -0.9683 -0.9524 -0.9346 -0.9895 -0.9895 -0.9765 -0.9637 -0.994 -0.9942
"SITTING" 27 0.2739 -0.0155 -0.1055 -0.9886 -0.9716 -0.9659 0.8395 0.2129 0.2764 -0.9824 -0.9826 -0.9673 0.0779 0.0047 -0.0061 -0.9907 -0.9851 -0.9889 -0.0372 -0.0797 0.0834 -0.9885 -0.9821 -0.9757 -0.0952 -0.0396 -0.0504 -0.9936 -0.9922 -0.9918 -0.9795 -0.9695 -0.9795 -0.9695 -0.9895 -0.9892 -0.9636 -0.9708 -0.994 -0.9921 -0.9887 -0.9741 -0.9747 -0.9887 -0.9713 -0.9632 -0.9908 -0.9852 -0.9871 -0.9913 -0.9861 -0.9893 -0.9872 -0.9841 -0.9768 -0.989 -0.981 -0.9776 -0.9748 -0.9709 -0.9888 -0.9885 -0.9795 -0.9705 -0.9924 -0.992
"SITTING" 28 0.277 -0.0185 -0.1115 -0.9833 -0.9399 -0.9367 0.9073 -0.1126 0.1354 -0.9891 -0.9718 -0.9561 0.0769 0.0148 3e-04 -0.9763 -0.9622 -0.9763 -0.0339 -0.0674 0.087 -0.9797 -0.9563 -0.9566 -0.0954 -0.0408 -0.0579 -0.9822 -0.9807 -0.971 -0.9558 -0.9478 -0.9558 -0.9478 -0.9733 -0.9703 -0.9552 -0.9511 -0.9812 -0.9784 -0.9798 -0.9464 -0.9522 -0.985 -0.9399 -0.933 -0.9769 -0.9631 -0.9729 -0.9778 -0.964 -0.9783 -0.9737 -0.9631 -0.9542 -0.9816 -0.9532 -0.9616 -0.9539 -0.9523 -0.9692 -0.9708 -0.9603 -0.9535 -0.9795 -0.9784
"SITTING" 29 0.2772 -0.0166 -0.1104 -0.9907 -0.9632 -0.9681 0.8916 0.1557 0.2863 -0.9847 -0.9736 -0.966 0.0745 0.006 0.0032 -0.9935 -0.9841 -0.9902 -0.0379 -0.0756 0.058 -0.9902 -0.9883 -0.9712 -0.0954 -0.04 -0.047 -0.9933 -0.9953 -0.9928 -0.978 -0.9693 -0.978 -0.9693 -0.9907 -0.9905 -0.9624 -0.9716 -0.9954 -0.9949 -0.9911 -0.9696 -0.9756 -0.9906 -0.9617 -0.9658 -0.9934 -0.9839 -0.9885 -0.9942 -0.9855 -0.9904 -0.9884 -0.9903 -0.9739 -0.9907 -0.9873 -0.9729 -0.9733 -0.9712 -0.9901 -0.9898 -0.9803 -0.971 -0.9951 -0.9947
"SITTING" 30 0.2683 -0.008 -0.0995 -0.9836 -0.9379 -0.9507 0.8255 0.1146 0.3448 -0.9784 -0.9594 -0.9566 0.076 0.0098 -0.0028 -0.9889 -0.9804 -0.9882 -0.0358 -0.0744 0.0702 -0.9881 -0.9765 -0.9551 -0.0953 -0.0408 -0.0488 -0.9939 -0.9925 -0.9881 -0.9575 -0.9429 -0.9575 -0.9429 -0.9878 -0.9861 -0.9558 -0.9606 -0.9937 -0.9913 -0.985 -0.9541 -0.9663 -0.9832 -0.934 -0.9462 -0.9888 -0.9804 -0.986 -0.99 -0.9819 -0.989 -0.987 -0.982 -0.9612 -0.9885 -0.9738 -0.9573 -0.9599 -0.9435 -0.9858 -0.9853 -0.9739 -0.9595 -0.9918 -0.9909
"STANDING" 1 0.2789 -0.0161 -0.1106 -0.9958 -0.9732 -0.9798 0.943 -0.273 0.0135 -0.9938 -0.9812 -0.9763 0.0754 0.008 -0.0037 -0.9946 -0.9856 -0.9923 -0.024 -0.0594 0.0748 -0.9872 -0.9877 -0.9806 -0.0996 -0.0441 -0.049 -0.9929 -0.9951 -0.9921 -0.9843 -0.9819 -0.9843 -0.9819 -0.9924 -0.9931 -0.9765 -0.9787 -0.995 -0.9947 -0.9952 -0.9771 -0.9853 -0.996 -0.9723 -0.9779 -0.9946 -0.9854 -0.9908 -0.9951 -0.987 -0.9923 -0.9864 -0.989 -0.9808 -0.9875 -0.9871 -0.9823 -0.9854 -0.9823 -0.9925 -0.9925 -0.9846 -0.9785 -0.9948 -0.9947
"STANDING" 2 0.2779 -0.0184 -0.1059 -0.9873 -0.9573 -0.9497 0.8969 -0.3701 0.1297 -0.9867 -0.9742 -0.9459 0.0748 0.0103 -0.0084 -0.9811 -0.9711 -0.9828 -0.0239 -0.082 0.0878 -0.973 -0.9714 -0.9649 -0.1056 -0.0422 -0.0547 -0.9793 -0.9834 -0.9736 -0.9659 -0.9579 -0.9659 -0.9579 -0.9805 -0.9767 -0.9635 -0.9539 -0.984 -0.9772 -0.9839 -0.9599 -0.9625 -0.9891 -0.9579 -0.9464 -0.981 -0.9709 -0.9798 -0.983 -0.9735 -0.9846 -0.967 -0.9726 -0.9606 -0.975 -0.971 -0.9698 -0.9641 -0.9605 -0.9771 -0.9752 -0.9618 -0.9568 -0.9778 -0.9778
"STANDING" 3 0.28 -0.0143 -0.1016 -0.9667 -0.8934 -0.9114 0.935 -0.3017 0.0248 -0.982 -0.9574 -0.9282 0.0751 0.0077 -0.0081 -0.9571 -0.9417 -0.9731 -0.0247 -0.0585 0.0665 -0.9005 -0.9278 -0.9124 -0.0995 -0.0472 -0.0417 -0.9409 -0.9684 -0.9583 -0.9254 -0.9151 -0.9254 -0.9151 -0.9593 -0.9488 -0.8921 -0.8821 -0.9623 -0.9577 -0.9601 -0.9081 -0.9395 -0.9699 -0.8924 -0.9048 -0.9577 -0.9435 -0.9692 -0.9606 -0.9439 -0.9756 -0.9013 -0.9377 -0.9162 -0.902 -0.9231 -0.9197 -0.927 -0.9218 -0.9486 -0.9482 -0.9137 -0.8834 -0.9603 -0.9571
